"YEAR"	"AGE"	"MARST"	"n"	"prop"
1900	85	6	2106.98	0.0683742988079329
1900	86	1	4641.73	0.221549495232018
1900	86	2	652.69	0.0311528546561273
1900	86	5	14047.25	0.670474402194432
1900	86	6	1609.54	0.0768232479174234
1900	87	1	4009.86	0.221123489924744
1900	87	2	548.81	0.030264094633129
1900	87	4	40.64	0.00224109036987366
1900	87	5	12347.54	0.680904354961363
1900	87	6	1187.18	0.065466970110891
1900	88	1	2778.44	0.208422912987837
1900	88	2	356.03	0.0267073644602941
1900	88	4	19.82	0.00148678471927374
1900	88	5	9349.68	0.701360310499461
1900	88	6	826.81	0.0620226273331343
1900	89	1	1984.5	0.198426387259916
1900	89	2	253.77	0.0253739804963209
1900	89	4	19.54	0.0019537675016673
1900	89	5	6740.71	0.673990795095384
1900	89	6	1002.67	0.100255069646712
1900	90	1	2107.76	0.16783412787582
1900	90	2	353.61	0.0281568233376518
1900	90	4	19.99	0.00159173920002166
1900	90	5	9308.21	0.741182728315838
1900	90	6	769.02	0.0612345812706681
1900	91	1	474.07	0.10003798349828
1900	91	2	215.62	0.0455000105509717
1900	91	4	40.42	0.00852940555825192
1900	91	5	3406.31	0.718797611259997
1900	91	6	602.48	0.127134989132499
1900	92	1	568.88	0.150485809289763
1900	92	2	118.15	0.0312542159463957
1900	92	5	2876.92	0.761031561070712
1900	92	6	216.34	0.0572284136931294
1900	93	1	274.55	0.0964477169414955
1900	93	2	158.04	0.0555184745417372
1900	93	5	1769.4	0.621579276475258
1900	93	6	644.63	0.226454532041509
1900	94	1	256.32	0.116784596388753
1900	94	2	98.58	0.0449150495942701
1900	94	4	19.51	0.0088891521361758
1900	94	5	1760.97	0.802333687198436
1900	94	6	59.43	0.0270775146823643
1900	95	1	432.2	0.149131675471255
1900	95	2	177.44	0.0612261094299388
1900	95	4	18.5	0.00638347060670575
1900	95	5	2018.78	0.696585015751645
1900	95	6	251.19	0.086673728740455
1900	96	1	313.02	0.149036561617681
1900	96	2	58.29	0.027753310257155
1900	96	5	1650.39	0.785791485937656
1900	96	6	78.59	0.0374186421875074
1900	97	1	176.9	0.190653762421055
1900	97	2	20.3	0.0218783006056948
1900	97	5	652.25	0.702961653697756
1900	97	6	78.41	0.0845062832754941
1900	98	1	255.81	0.186248170718389
1900	98	2	39.33	0.0286350828910294
1900	98	5	999.22	0.727504386635505
1900	98	6	79.13	0.0576123597550765
1900	99	1	236.32	0.266717831224676
1900	99	5	589.57	0.665406363215693
1900	99	6	60.14	0.0678758055596312
1900	100	1	216.87	0.172872276825215
1900	100	5	1000.14	0.797235574048832
1900	100	6	37.5	0.0298921491259536
1900	101	1	59.09	0.168635844748858
1900	101	5	272.47	0.77759703196347
1900	101	6	18.84	0.0537671232876712
1900	102	1	59.15	0.199736611062335
1900	102	5	217.68	0.735057742959411
1900	102	6	19.31	0.0652056459782535
1900	103	1	37.6	0.384851586489253
1900	103	5	60.1	0.615148413510747
1900	104	1	18.88	0.0958132453691956
1900	104	2	19.65	0.099720883024613
1900	104	5	99.08	0.502816544024359
1900	104	6	59.44	0.301649327581832
1900	105	5	116.43	1
1900	106	5	158.98	1
1900	107	1	19.89	0.206885791553984
1900	107	5	76.25	0.793114208446016
1900	108	1	19.69	0.1960569550931
1900	108	5	60.74	0.604799362740217
1900	108	6	20	0.199143682166683
1900	109	5	84.17	0.808161305808929
1900	109	6	19.98	0.191838694191071
1900	110	5	97.36	0.817327065144392
1900	110	6	21.76	0.182672934855608
1900	111	5	61.01	1
1900	112	1	20.03	0.336808474861275
1900	112	5	19.69	0.331091306541113
1900	112	6	19.75	0.332100218597612
1900	115	4	20.04	1
1900	116	5	19.86	1
1900	117	5	20.09	1
1900	120	5	39.26	1
1900	124	5	58.7	1
1900	129	6	19.46	1
1900	135	5	19.66	1
1910	0	6	2250127	1
1910	1	6	1955789	1
1910	2	6	2166349	1
1910	3	6	2169855	1
1910	4	6	2122436	1
1910	5	6	2045114	1
1910	6	6	2034780	1
1910	7	6	1961895	1
1910	8	6	1937280	1
1910	9	6	1818566	1
1910	10	6	1885137	1
1910	11	6	1692398	1
1910	12	2	300	0.000155167143460817
1910	12	5	302	0.000156201591083889
1910	12	6	1932797	0.999688631265455
1910	13	1	803	0.000456473308817552
1910	13	2	201	0.000114260442182227
1910	13	4	201	0.000114260442182227
1910	13	5	200	0.000113691982270872
1910	13	6	1757734	0.999201313824547
1910	14	1	2408	0.00128655845612985
1910	14	2	301	0.000160819807016232
1910	14	4	201	0.000107391299701869
1910	14	5	300	0.000160285521943088
1910	14	6	1868450	0.998284944915209
1910	15	1	11941	0.00677563902146177
1910	15	2	1503	0.000852841926912071
1910	15	5	803	0.00045564342469088
1910	15	6	1748096	0.991915875626935
1910	16	1	35409	0.0189296557121756
1910	16	2	4307	0.00230252272451468
1910	16	4	301	0.000160914636656354
1910	16	5	1707	0.000912562407881716
1910	16	6	1828833	0.977694344518772
1910	17	1	77459	0.0430315346445547
1910	17	2	4412	0.00245104030328013
1910	17	4	802	0.000445542684322453
1910	17	5	2906	0.0016143978062856
1910	17	6	1714473	0.952457484561557
1910	18	1	175184	0.0900240445762497
1910	18	2	14042	0.00721594228890594
1910	18	4	1202	0.000617687126567792
1910	18	5	4010	0.00206067003122866
1910	18	6	1751531	0.900081655977048
1910	19	1	252645	0.142808288866781
1910	19	2	18252	0.0103169937596093
1910	19	4	1706	0.000964321244460523
1910	19	5	6614	0.00373858189382292
1910	19	6	1489903	0.842171814235326
1910	20	1	398593	0.215035136689437
1910	20	2	28182	0.0152037798510804
1910	20	4	4814	0.00259708310989643
1910	20	5	11026	0.00594836692349772
1910	20	6	1411003	0.761215633426089
1910	21	1	501164	0.276330016436531
1910	21	2	27480	0.0151518242564827
1910	21	4	3918	0.00216029284704873
1910	21	5	11037	0.0060855416418777
1910	21	6	1270044	0.70027232481806
1910	22	1	639579	0.350074248172258
1910	22	2	37404	0.0204731193154171
1910	22	4	5917	0.00323867626428518
1910	22	5	15642	0.00856166539225093
1910	22	6	1128439	0.617652290855789
1910	23	1	748441	0.419708272746084
1910	23	2	40106	0.0224905102563254
1910	23	4	7322	0.004106006983913
1910	23	5	14647	0.00821369629792047
1910	23	6	972725	0.545481513715757
1910	24	1	868346	0.483462752846867
1910	24	2	46446	0.0258594051434861
1910	24	4	7226	0.00402316801375427
1910	24	5	22662	0.0126173586393163
1910	24	6	851417	0.474037315356576
1910	25	1	956833	0.525195390866811
1910	25	2	56841	0.0311994164209015
1910	25	4	9225	0.00506350374699277
1910	25	5	28189	0.0154726403386427
1910	25	6	770773	0.423069048626652
1910	26	1	964089	0.569187707152801
1910	26	2	53149	0.0313785941416863
1910	26	4	10031	0.00592219379170362
1910	26	5	28281	0.0166967961941152
1910	26	6	638248	0.376814708719694
1910	27	1	950891	0.609001315491157
1910	27	2	50738	0.0324953214883623
1910	27	4	8326	0.00533241449627704
1910	27	5	24866	0.0159255127149201
1910	27	6	526573	0.337245435809283
1910	28	1	1089801	0.625394386031762
1910	28	2	66891	0.038386141943392
1910	28	4	10627	0.00609842176723965
1910	28	5	38416	0.0220454475026139
1910	28	6	536847	0.308075602754992
1910	29	1	957945	0.674809696966282
1910	29	2	48040	0.033841042901482
1910	29	4	7722	0.005439644739493
1910	29	5	30080	0.0211893957218272
1910	29	6	375791	0.264720219670916
1910	30	1	1219465	0.655627049061343
1910	30	2	78521	0.0422156367910073
1910	30	4	12934	0.00695377091803325
1910	30	5	53251	0.02862960067699
